"topic","term_1","term_2","term_3","term_4","term_5"
1,"apnea","disord","insomnia","sleep","patient"
2,"inning","game","pitcher","basebal","pitch"
3,"funer","church","saturday","sunday","friday"
4,"homeless","shelter","volunt","church","servic"
5,"mattress","store","bed","retail","shop"
6,"cat","anim","adopt","fox","human"
7,"elementari","school","student","teacher","teen"
8,"jail","counti","prison","sheriff","supervisor"
9,"infant","babi","parent","birth","pediatr"
10,"inn","hotel","guest","room","lodg"
11,"pillow","room","space","design","bedroom"
12,"rebound","game","playoff","victori","score"
13,"airlin","flight","airport","plane","passeng"
14,"jackson","michael","brown","vega","las"
15,"dream","nightmar","memori","emot","mind"
16,"album","music","song","band","danc"
17,"camp","park","tent","summer","cabin"
18,"dog","pet","owner","rescu","anim"
19,"caffein","drink","alcohol","smoke","coffe"
20,"clinton","democrat","republican","senat","campaign"
21,"stock","fund","invest","market","tax"
22,"duck","king","wilson","goal","ice"
23,"gang","street","neighborhood","black","gun"
24,"chart","comput","internet","network","onlin"
25,"olymp","won","win","championship","athlet"
26,"dear","love","husband","marri","marriag"
27,"prescrib","drug","pill","patient","medic"
28,"text","photo","caption","illustr","chicago"
29,"film","movi","actor","comedi","theater"
30,"fire","hous","apart","home","build"
31,"boat","island","fish","sea","river"
32,"diabet","percent","studi","health","diseas"
33,"nap","hour","sleep","depriv","sleepi"
34,"juri","prosecutor","murder","testifi","attorney"
35,"hors","race","ride","bike","mile"
36,"reagan","govern","polit","minist","nation"
37,"headach","symptom","depress","pain","stress"
38,"cruis","tour","travel","trip","tourist"
39,"kennedi","william","john","washington","johnson"
40,"quarterback","coach","player","team","game"
41,"spanish","immigr","american","cultur","japanes"
42,"pilot","worker","crew","train","union"
43,"campus","student","colleg","program","class"
44,"driver","car","truck","drive","bus"
45,"bird","man","walk","smile","back"
46,"foster","children","parent","child","kid"
47,"hormon","research","brain","studi","scientist"
48,"galleri","museum","art","york","street"
49,"sleeper","bed","night","sleep","bedtim"
50,"bush","war","militari","soldier","armi"
51,"usa","say","add","peopl","shes"
52,"council","citi","mayor","resid","offici"
53,"wine","food","restaur","cook","dinner"
54,"cancer","patient","hospit","medic","doctor"
55,"bat","hes","think","dont","guy"
56,"clock","light","rhythm","shift","alarm"
57,"seal","angel","los","san","california"
58,"plant","farm","water","tree","temperatur"
59,"ana","counti","orang","santa","beach"
60,"snore","surgeri","breath","nois","devic"
61,"revenu","compani","million","industri","busi"
62,"golf","tournament","club","player","round"
63,"era","women","men","woman","sex"
64,"miller","allen","howard","larri","tim"
65,"novel","book","write","fiction","stori"
66,"mrs","father","mother","son","famili"
67,"suprem","law","court","legal","lawyer"
68,"exercis","weight","diet","bodi","fat"
69,"polic","said","yesterday","offic","offici"
70,"smith","stephen","carolina","north","miss"
