"topic","term_1","term_2","term_3","term_4","term_5"
1,"sleep","disord","apnea","peopl","medic"
2,"game","hit","run","pitch","basebal"
3,"will","saturday","friday","sunday","church"
4,"homeless","shelter","peopl","servic","help"
5,"store","mattress","bed","shop","buy"
6,"anim","cat","human","adopt","bear"
7,"school","high","teacher","student","start"
8,"counti","jail","prison","sheriff","offici"
9,"babi","infant","parent","mother","birth"
10,"hotel","room","guest","inn","rate"
11,"room","can","design","use","space"
12,"game","point","play","said","score"
13,"flight","travel","airport","plane","airlin"
14,"michael","brown","jackson","told","gari"
15,"dream","life","one","mind","peopl"
16,"music","song","band","perform","danc"
17,"park","camp","summer","tent","day"
18,"dog","pet","owner","home","put"
19,"drink","alcohol","smoke","coffe","can"
20,"presid","campaign","democrat","clinton","vote"
21,"money","fund","stock","year","market"
22,"king","goal","wilson","ice","brian"
23,"street","black","peopl","man","block"
24,"show","news","call","will","phone"
25,"won","world","win","sport","olymp"
26,"love","will","friend","husband","dear"
27,"drug","use","medic","effect","treatment"
28,"photo","illustr","caption","chicago","color"
29,"film","movi","play","star","show"
30,"hous","home","fire","live","apart"
31,"island","water","boat","river","fish"
32,"percent","studi","risk","health","report"
33,"sleep","hour","get","day","time"
34,"case","death","charg","kill","investig"
35,"race","run","ride","hors","mile"
36,"govern","nation","will","polit","countri"
37,"can","may","problem","pain","depress"
38,"travel","trip","tour","includ","cruis"
39,"john","washington","william","robert","georg"
40,"team","player","coach","season","play"
41,"american","countri","cultur","world","state"
42,"train","worker","work","union","crew"
43,"student","colleg","univers","program","class"
44,"car","drive","driver","road","truck"
45,"one","back","look","day","hand"
46,"children","parent","child","kid","famili"
47,"research","studi","brain","univers","test"
48,"new","york","art","street","center"
49,"night","sleep","bed","get","wake"
50,"war","bush","militari","armi","forc"
51,"say","peopl","get","today","work"
52,"citi","resid","new","council","will"
53,"food","eat","cook","restaur","dinner"
54,"hospit","medic","patient","doctor","care"
55,"get","like","just","dont","think"
56,"light","time","day","clock","morn"
57,"angel","los","san","time","california"
58,"water","plant","cold","farm","winter"
59,"counti","orang","santa","beach","regist"
60,"breath","nois","surgeri","snore","sound"
61,"compani","million","busi","year","new"
62,"club","play","round","open","green"
63,"women","men","woman","sex","male"
64,"mark","miller","grant","howard","allen"
65,"book","write","stori","one","read"
66,"famili","year","father","mother","son"
67,"law","state","court","rule","legal"
68,"exercis","can","bodi","weight","eat"
69,"said","polic","offic","report","two"
70,"smith","stephen","carolina","one","time"
