"topic","method","rank","term"
1,"probability",1,"sleep"
1,"probability",2,"disord"
1,"probability",3,"apnea"
1,"probability",4,"peopl"
1,"probability",5,"medic"
2,"probability",1,"game"
2,"probability",2,"hit"
2,"probability",3,"run"
2,"probability",4,"pitch"
2,"probability",5,"basebal"
3,"probability",1,"will"
3,"probability",2,"saturday"
3,"probability",3,"friday"
3,"probability",4,"sunday"
3,"probability",5,"church"
4,"probability",1,"homeless"
4,"probability",2,"shelter"
4,"probability",3,"peopl"
4,"probability",4,"servic"
4,"probability",5,"help"
5,"probability",1,"store"
5,"probability",2,"mattress"
5,"probability",3,"bed"
5,"probability",4,"shop"
5,"probability",5,"buy"
6,"probability",1,"anim"
6,"probability",2,"cat"
6,"probability",3,"human"
6,"probability",4,"adopt"
6,"probability",5,"bear"
7,"probability",1,"school"
7,"probability",2,"high"
7,"probability",3,"teacher"
7,"probability",4,"student"
7,"probability",5,"start"
8,"probability",1,"counti"
8,"probability",2,"jail"
8,"probability",3,"prison"
8,"probability",4,"sheriff"
8,"probability",5,"offici"
9,"probability",1,"babi"
9,"probability",2,"infant"
9,"probability",3,"parent"
9,"probability",4,"mother"
9,"probability",5,"birth"
10,"probability",1,"hotel"
10,"probability",2,"room"
10,"probability",3,"guest"
10,"probability",4,"inn"
10,"probability",5,"rate"
11,"probability",1,"room"
11,"probability",2,"can"
11,"probability",3,"design"
11,"probability",4,"use"
11,"probability",5,"space"
12,"probability",1,"game"
12,"probability",2,"point"
12,"probability",3,"play"
12,"probability",4,"said"
12,"probability",5,"score"
13,"probability",1,"flight"
13,"probability",2,"travel"
13,"probability",3,"airport"
13,"probability",4,"plane"
13,"probability",5,"airlin"
14,"probability",1,"michael"
14,"probability",2,"brown"
14,"probability",3,"jackson"
14,"probability",4,"told"
14,"probability",5,"gari"
15,"probability",1,"dream"
15,"probability",2,"life"
15,"probability",3,"one"
15,"probability",4,"mind"
15,"probability",5,"peopl"
16,"probability",1,"music"
16,"probability",2,"song"
16,"probability",3,"band"
16,"probability",4,"perform"
16,"probability",5,"danc"
17,"probability",1,"park"
17,"probability",2,"camp"
17,"probability",3,"summer"
17,"probability",4,"tent"
17,"probability",5,"day"
18,"probability",1,"dog"
18,"probability",2,"pet"
18,"probability",3,"owner"
18,"probability",4,"home"
18,"probability",5,"put"
19,"probability",1,"drink"
19,"probability",2,"alcohol"
19,"probability",3,"smoke"
19,"probability",4,"coffe"
19,"probability",5,"can"
20,"probability",1,"presid"
20,"probability",2,"campaign"
20,"probability",3,"democrat"
20,"probability",4,"clinton"
20,"probability",5,"vote"
21,"probability",1,"money"
21,"probability",2,"fund"
21,"probability",3,"stock"
21,"probability",4,"year"
21,"probability",5,"market"
22,"probability",1,"king"
22,"probability",2,"goal"
22,"probability",3,"wilson"
22,"probability",4,"ice"
22,"probability",5,"brian"
23,"probability",1,"street"
23,"probability",2,"black"
23,"probability",3,"peopl"
23,"probability",4,"man"
23,"probability",5,"block"
24,"probability",1,"show"
24,"probability",2,"news"
24,"probability",3,"call"
24,"probability",4,"will"
24,"probability",5,"phone"
25,"probability",1,"won"
25,"probability",2,"world"
25,"probability",3,"win"
25,"probability",4,"sport"
25,"probability",5,"olymp"
26,"probability",1,"love"
26,"probability",2,"will"
26,"probability",3,"friend"
26,"probability",4,"husband"
26,"probability",5,"dear"
27,"probability",1,"drug"
27,"probability",2,"use"
27,"probability",3,"medic"
27,"probability",4,"effect"
27,"probability",5,"treatment"
28,"probability",1,"photo"
28,"probability",2,"illustr"
28,"probability",3,"caption"
28,"probability",4,"chicago"
28,"probability",5,"color"
29,"probability",1,"film"
